1001
58226;60521679000;7953.77
79949;62802531669;1131.25
69241;27004790887;1274.33
79658;92696384328;2608.15
95741;76968400379;7419.93
76487;54461528464;2783.79
91781;29361131758;9225.33
80058;92404732129;9227.18
63467;57302890901;1669.84
59018;73242538250;1250.06
92841;49139446631;378.2
67924;80002053341;2242.65
13686;77874223701;4188.99
44889;53412108235;9182.64
84703;31273134758;498.79
75225;75251458064;7604.25
93494;18445846341;4819.41
93892;42125045143;2273.35
12989;14182607955;5858.21
11507;40064028340;1630.72
76784;14764617763;7700.98
39862;59675307964;8823.07
80598;32882916426;4763.32
22363;20242036871;4458.6
86851;13518899630;96.78
92535;79635344122;9061.92
17669;97106338879;1584.11
67847;69803698983;4545.18
14111;26301948533;2332.71
39713;57014352689;9277.52
86524;13335880021;8789.04
16619;17118629030;6275.91
54281;36135579328;1307.78
80135;95405035609;1199.41
90544;18978916153;7093.8
37291;14860383476;2996.91
96620;66671780287;3231.35
83206;54352021913;4542.63
20443;66269181649;4496.28
74302;26541602248;4071.92
53225;82855942586;8390.71
10576;67740679061;5364.26
67192;57089190928;1140.2
57183;48423444622;9214.65
67647;47838650367;9688.71
79382;42938706800;1762.39
60815;75898231708;2318.35
51552;56725298294;862.75
48033;79078428364;3467.72
12187;39494222719;7819.64
44002;14351227700;239.87
59703;28664598243;1288.68
32914;77033597052;7794.08
66846;88076024674;3118.3
78480;73160890900;6074.73
11528;24229288923;9575.37
75062;22640751539;4022.85
55277;81382743448;2922.94
12903;99527629286;1383.55
19662;78410743333;2041.61
77244;19515637973;8024.4
51150;61531502799;1210.13
60943;32496293685;3035.2
15825;53578635676;7880.83
35948;86614531333;9916.68
42090;74821611032;3135.95
57396;93848497835;2295.93
56734;59850595192;6181.23
80541;72357722603;2163.15
13595;72128144899;9458.83
95609;69962062560;5354.56
67981;10556031981;5700.34
13299;41354902179;8601.47
82864;28832882106;1404.95
39603;48478552064;522.07
54768;81744758722;5068.58
40963;81373289170;4459.42
86267;30493960057;9018.01
38174;92173806797;2227.19
11779;49076885350;6153.68
20350;13918277458;326.57
92674;37496584269;9356.61
57029;15977057581;21.58
38922;42884021063;3249.93
34040;66737840900;4611.59
21949;39604101301;7739.72
97278;50174050350;4120.42
53744;11588486899;7438.69
66543;45212091569;8660.09
47808;76906226896;5976.58
37401;54746116223;3469.43
99583;87005509938;9889.26
48421;45915085309;6353.05
46386;15340929112;1371.5
17017;45063702720;6436.95
24289;40785977835;8575.7
84555;79191173869;8371.87
36518;75531913861;9358.69
64412;31120086912;9403.19
61446;88984412167;9027.4
60557;56977644239;2442.68
28167;11283950960;5949.43
59631;78628302124;6482.51
55431;97851624884;7624.71
51917;23515311779;7494.87
62361;41516018036;2581.97
66868;82973598036;974.07
58259;89631970208;2301.58
56249;33198533311;5232.71
27867;84817877700;2115.58
60293;93996958965;5457.53
58698;12884960661;301.58
40347;29869673892;165.74
79409;79459573701;9659.22
